video_link,thumbnail_link,duration
https://www.youtube.com//watch?v=X8jsijhllIA,https://i.ytimg.com/vi/X8jsijhllIA/hqdefault.jpg,"20 minutes, 5 seconds"
https://www.youtube.com//watch?v=mH0oCDa74tE,https://i.ytimg.com/vi/mH0oCDa74tE/hqdefault.jpg,"21 minutes, 58 seconds"
https://www.youtube.com//watch?v=wTJI_WuZSwE,https://i.ytimg.com/vi/wTJI_WuZSwE/hqdefault.jpg,"18 minutes, 42 seconds"
https://www.youtube.com//watch?v=D__UaR5MQao,https://i.ytimg.com/vi/D__UaR5MQao/hqdefault.jpg,"7 minutes, 19 seconds"
https://www.youtube.com//watch?v=ppWPuXsnf1Q,https://i.ytimg.com/vi/ppWPuXsnf1Q/hqdefault.jpg,"2 minutes, 13 seconds"
https://www.youtube.com//watch?v=ZA4JkHKZM50,https://i.ytimg.com/vi/ZA4JkHKZM50/hqdefault.jpg,"10 minutes, 1 second"
https://www.youtube.com//watch?v=gxAaO2rsdIs,https://i.ytimg.com/vi/gxAaO2rsdIs/hqdefault.jpg,"23 minutes, 12 seconds"
https://www.youtube.com//watch?v=8idr1WZ1A7Q,https://i.ytimg.com/vi/8idr1WZ1A7Q/hqdefault.jpg,"12 minutes, 34 seconds"
https://www.youtube.com//watch?v=Kas0tIxDvrg,https://i.ytimg.com/vi/Kas0tIxDvrg/hqdefault.jpg,"8 minutes, 57 seconds"
https://www.youtube.com//watch?v=U_85TaXbeIo,https://i.ytimg.com/vi/U_85TaXbeIo/hqdefault.jpg,"3 minutes, 48 seconds"
https://www.youtube.com//watch?v=HZGCoVF3YvM,https://i.ytimg.com/vi/HZGCoVF3YvM/hqdefault.jpg,"15 minutes, 11 seconds"
https://www.youtube.com//watch?v=Agbh95KyWxY,https://i.ytimg.com/vi/Agbh95KyWxY/hqdefault.jpg,"19 minutes, 6 seconds"
https://www.youtube.com//watch?v=EK32jo7i5LQ,https://i.ytimg.com/vi/EK32jo7i5LQ/hqdefault.jpg,"22 minutes, 21 seconds"
https://www.youtube.com//watch?v=M64HUIJFTZM,https://i.ytimg.com/vi/M64HUIJFTZM/hqdefault.jpg,"16 minutes, 3 seconds"
https://www.youtube.com//watch?v=v0YEaeIClKY,https://i.ytimg.com/vi/v0YEaeIClKY/hqdefault.jpg,"4 minutes, 8 seconds"
https://www.youtube.com//watch?v=-qgreAUpPwM,https://i.ytimg.com/vi/-qgreAUpPwM/hqdefault.jpg,"12 minutes, 29 seconds"
https://www.youtube.com//watch?v=r6sGWTCMz2k,https://i.ytimg.com/vi/r6sGWTCMz2k/hqdefault.jpg,"24 minutes, 47 seconds"
https://www.youtube.com//watch?v=ToIXSwZ1pJU,https://i.ytimg.com/vi/ToIXSwZ1pJU/hqdefault.jpg,"14 minutes, 13 seconds"
https://www.youtube.com//watch?v=ly4S0oi3Yz8,https://i.ytimg.com/vi/ly4S0oi3Yz8/hqdefault.jpg,"17 minutes, 39 seconds"
